year,province,total_votes,votes_edreta,source_file
2000,Almeria,278462,487,Vots extrema dreta 2000.xlsx
2000,Cadiz,553667,1001,Vots extrema dreta 2000.xlsx
2000,Cordoba,461695,419,Vots extrema dreta 2000.xlsx
2000,Granada,480242,378,Vots extrema dreta 2000.xlsx
2000,Huelva,245452,311,Vots extrema dreta 2000.xlsx
2000,Jaen,399949,397,Vots extrema dreta 2000.xlsx
2000,Malaga,649285,722,Vots extrema dreta 2000.xlsx
2000,Sevilla,971500,1460,Vots extrema dreta 2000.xlsx
2000,Huesca,125449,0,Vots extrema dreta 2000.xlsx
2000,Teruel,84252,113,Vots extrema dreta 2000.xlsx
2000,Zaragoza,513159,658,Vots extrema dreta 2000.xlsx
2000,Asturias,653234,1075,Vots extrema dreta 2000.xlsx
2000,Illes Balears,397898,623,Vots extrema dreta 2000.xlsx
2000,Las Palmas,438656,478,Vots extrema dreta 2000.xlsx
2000,Santa Cruz de Tenerife,401158,331,Vots extrema dreta 2000.xlsx
2000,Cantabria,333268,670,Vots extrema dreta 2000.xlsx
2000,Avila,221539,382,Vots extrema dreta 2000.xlsx
2000,Burgos,291799,425,Vots extrema dreta 2000.xlsx
2000,Leon,130621,147,Vots extrema dreta 2000.xlsx
2000,Palencia,102782,145,Vots extrema dreta 2000.xlsx
2000,Salamanca,328830,495,Vots extrema dreta 2000.xlsx
2000,Segovia,107278,255,Vots extrema dreta 2000.xlsx
2000,Soria,221883,395,Vots extrema dreta 2000.xlsx
2000,Valladolid,312334,239,Vots extrema dreta 2000.xlsx
2000,Zamora,115613,242,Vots extrema dreta 2000.xlsx
2000,Albacete,222748,370,Vots extrema dreta 2000.xlsx
2000,Ciudad Real,94584,183,Vots extrema dreta 2000.xlsx
2000,Cuenca,54526,93,Vots extrema dreta 2000.xlsx
2000,Guadalajara,317600,618,Vots extrema dreta 2000.xlsx
2000,Toledo,127935,221,Vots extrema dreta 2000.xlsx
2000,Barcelona,2561508,2975,Vots extrema dreta 2000.xlsx
2000,Girona,295047,273,Vots extrema dreta 2000.xlsx
2000,Lleida,200563,200,Vots extrema dreta 2000.xlsx
2000,Tarragona,314154,314,Vots extrema dreta 2000.xlsx
2000,Alacant,398429,485,Vots extrema dreta 2000.xlsx
2000,Castello,258719,304,Vots extrema dreta 2000.xlsx
2000,Valencia,655387,698,Vots extrema dreta 2000.xlsx
2000,Badajoz,231462,299,Vots extrema dreta 2000.xlsx
2000,Caceres,224738,379,Vots extrema dreta 2000.xlsx
2000,A Coruña,533458,775,Vots extrema dreta 2000.xlsx
2000,Lugo,3095467,4197,Vots extrema dreta 2000.xlsx
2000,Ourense,302686,875,Vots extrema dreta 2000.xlsx
2000,Pontevedra,169488,205,Vots extrema dreta 2000.xlsx
2000,Madrid,323825,293,Vots extrema dreta 2000.xlsx
2000,Murcia,650387,668,Vots extrema dreta 2000.xlsx
2000,Navarra,670684,987,Vots extrema dreta 2000.xlsx
2000,Araba,169695,150,Vots extrema dreta 2000.xlsx
2000,Bizkaia,804968,1861,Vots extrema dreta 2000.xlsx
2000,Gipuzkoa,283425,360,Vots extrema dreta 2000.xlsx
2000,La Rioja,1343042,1857,Vots extrema dreta 2000.xlsx
2000,Ceuta,30501,93,Vots extrema dreta 2000.xlsx
2000,Melilla,26259,86,Vots extrema dreta 2000.xlsx
2004,Almeria,305836,609,Vots extrema dreta 2004.xlsx
2004,Cadiz,643639,1848,Vots extrema dreta 2004.xlsx
2004,Cordoba,493991,943,Vots extrema dreta 2004.xlsx
2004,Granada,522422,1145,Vots extrema dreta 2004.xlsx
2004,Huelva,275121,368,Vots extrema dreta 2004.xlsx
2004,Jaen,420132,703,Vots extrema dreta 2004.xlsx
2004,Malaga,738976,2278,Vots extrema dreta 2004.xlsx
2004,Sevilla,1097156,2239,Vots extrema dreta 2004.xlsx
2004,Huesca,134687,406,Vots extrema dreta 2004.xlsx
2004,Teruel,87982,160,Vots extrema dreta 2004.xlsx
2004,Zaragoza,558332,1463,Vots extrema dreta 2004.xlsx
2004,Asturias,703655,867,Vots extrema dreta 2004.xlsx
2004,Illes Balears,470119,824,Vots extrema dreta 2004.xlsx
2004,Las Palmas,495137,1063,Vots extrema dreta 2004.xlsx
2004,Santa Cruz de Tenerife,471709,752,Vots extrema dreta 2004.xlsx
2004,Cantabria,366826,720,Vots extrema dreta 2004.xlsx
2004,Avila,235023,831,Vots extrema dreta 2004.xlsx
2004,Burgos,306041,463,Vots extrema dreta 2004.xlsx
2004,Leon,133760,332,Vots extrema dreta 2004.xlsx
2004,Palencia,119964,495,Vots extrema dreta 2004.xlsx
2004,Salamanca,360904,1356,Vots extrema dreta 2004.xlsx
2004,Segovia,113582,301,Vots extrema dreta 2004.xlsx
2004,Soria,235597,680,Vots extrema dreta 2004.xlsx
2004,Valladolid,335135,653,Vots extrema dreta 2004.xlsx
2004,Zamora,120307,364,Vots extrema dreta 2004.xlsx
2004,Albacete,237653,622,Vots extrema dreta 2004.xlsx
2004,Ciudad Real,100096,389,Vots extrema dreta 2004.xlsx
2004,Cuenca,57459,131,Vots extrema dreta 2004.xlsx
2004,Guadalajara,348402,1059,Vots extrema dreta 2004.xlsx
2004,Toledo,134626,353,Vots extrema dreta 2004.xlsx
2004,Barcelona,3043835,4973,Vots extrema dreta 2004.xlsx
2004,Girona,357642,577,Vots extrema dreta 2004.xlsx
2004,Lleida,233283,297,Vots extrema dreta 2004.xlsx
2004,Tarragona,385013,661,Vots extrema dreta 2004.xlsx
2004,Alacant,424220,709,Vots extrema dreta 2004.xlsx
2004,Castello,272426,504,Vots extrema dreta 2004.xlsx
2004,Valencia,738681,915,Vots extrema dreta 2004.xlsx
2004,Badajoz,249434,301,Vots extrema dreta 2004.xlsx
2004,Caceres,239953,228,Vots extrema dreta 2004.xlsx
2004,A Coruña,607616,926,Vots extrema dreta 2004.xlsx
2004,Lugo,3501778,13903,Vots extrema dreta 2004.xlsx
2004,Ourense,339508,1545,Vots extrema dreta 2004.xlsx
2004,Pontevedra,182340,230,Vots extrema dreta 2004.xlsx
2004,Madrid,372792,534,Vots extrema dreta 2004.xlsx
2004,Murcia,693185,629,Vots extrema dreta 2004.xlsx
2004,Navarra,720775,1857,Vots extrema dreta 2004.xlsx
2004,Araba,185099,711,Vots extrema dreta 2004.xlsx
2004,Bizkaia,889522,3201,Vots extrema dreta 2004.xlsx
2004,Gipuzkoa,312174,1793,Vots extrema dreta 2004.xlsx
2004,La Rioja,1454856,5904,Vots extrema dreta 2004.xlsx
2004,Ceuta,35691,178,Vots extrema dreta 2004.xlsx
2004,Melilla,27207,98,Vots extrema dreta 2004.xlsx
2008,Almeria,325846,543,Vots extrema dreta 2008.xlsx
2008,Cadiz,643308,1895,Vots extrema dreta 2008.xlsx
2008,Cordoba,484711,1120,Vots extrema dreta 2008.xlsx
2008,Granada,530323,1115,Vots extrema dreta 2008.xlsx
2008,Huelva,268531,614,Vots extrema dreta 2008.xlsx
2008,Jaen,414606,615,Vots extrema dreta 2008.xlsx
2008,Malaga,764320,2112,Vots extrema dreta 2008.xlsx
2008,Sevilla,1078542,1534,Vots extrema dreta 2008.xlsx
2008,Huesca,132255,344,Vots extrema dreta 2008.xlsx
2008,Teruel,86786,174,Vots extrema dreta 2008.xlsx
2008,Zaragoza,548439,1351,Vots extrema dreta 2008.xlsx
2008,Asturias,695735,1343,Vots extrema dreta 2008.xlsx
2008,Illes Balears,473583,1138,Vots extrema dreta 2008.xlsx
2008,Las Palmas,506456,900,Vots extrema dreta 2008.xlsx
2008,Santa Cruz de Tenerife,492231,843,Vots extrema dreta 2008.xlsx
