year,province,total_votes,votes_edreta
2000,Almeria,278462,487
2000,Cadiz,553667,1001
2000,Cordoba,461695,419
2000,Granada,480242,378
2000,Huelva,245452,311
2000,Jaen,399949,397
2000,Malaga,649285,722
2000,Sevilla,971500,1460
2000,Huesca,125449,0
2000,Teruel,84252,113
2000,Zaragoza,513159,658
2000,Asturias,653234,1075
2000,Illes Balears,397898,623
2000,Las Palmas,438656,478
2000,Santa Cruz de Tenerife,401158,331
2000,Cantabria,333268,670
2000,Avila,221539,382
2000,Burgos,291799,425
2000,Leon,130621,147
2000,Palencia,102782,145
2000,Salamanca,328830,495
2000,Segovia,107278,255
2000,Soria,221883,395
2000,Valladolid,312334,239
2000,Zamora,115613,242
2000,Albacete,222748,370
2000,Ciudad Real,94584,183
2000,Cuenca,54526,93
2000,Guadalajara,317600,618
2000,Toledo,127935,221
2000,Barcelona,2561508,2975
2000,Girona,295047,273
2000,Lleida,200563,200
2000,Tarragona,314154,314
2000,Alacant,398429,485
2000,Castello,258719,304
2000,Valencia,655387,698
2000,Badajoz,231462,299
2000,Caceres,224738,379
2000,A Coruña,533458,775
2000,Lugo,3095467,4197
2000,Ourense,302686,875
2000,Pontevedra,169488,205
2000,Madrid,323825,293
2000,Murcia,650387,668
2000,Navarra,670684,987
2000,Araba,169695,150
2000,Bizkaia,804968,1861
2000,Gipuzkoa,283425,360
2000,La Rioja,1343042,1857
2000,Ceuta,30501,93
2000,Melilla,26259,86
2004,Almeria,305836,609
2004,Cadiz,643639,1848
2004,Cordoba,493991,943
2004,Granada,522422,1145
2004,Huelva,275121,368
2004,Jaen,420132,703
2004,Malaga,738976,2278
2004,Sevilla,1097156,2239
2004,Huesca,134687,406
2004,Teruel,87982,160
2004,Zaragoza,558332,1463
2004,Asturias,703655,867
2004,Illes Balears,470119,824
2004,Las Palmas,495137,1063
2004,Santa Cruz de Tenerife,471709,752
2004,Cantabria,366826,720
2004,Avila,235023,831
2004,Burgos,306041,463
2004,Leon,133760,332
2004,Palencia,119964,495
2004,Salamanca,360904,1356
2004,Segovia,113582,301
2004,Soria,235597,680
2004,Valladolid,335135,653
2004,Zamora,120307,364
2004,Albacete,237653,622
2004,Ciudad Real,100096,389
2004,Cuenca,57459,131
2004,Guadalajara,348402,1059
2004,Toledo,134626,353
2004,Barcelona,3043835,4973
2004,Girona,357642,577
2004,Lleida,233283,297
2004,Tarragona,385013,661
2004,Alacant,424220,709
2004,Castello,272426,504
2004,Valencia,738681,915
2004,Badajoz,249434,301
2004,Caceres,239953,228
