province,total_votes,votes_edreta,year,source_file
Almeria,306674,758,2016,Vots extrema dreta 2016.xlsx
Cadiz,615755,1725,2016,Vots extrema dreta 2016.xlsx
Cordoba,446818,1038,2016,Vots extrema dreta 2016.xlsx
Granada,489540,993,2016,Vots extrema dreta 2016.xlsx
Huelva,245819,398,2016,Vots extrema dreta 2016.xlsx
Jaen,370762,638,2016,Vots extrema dreta 2016.xlsx
Malaga,744858,1770,2016,Vots extrema dreta 2016.xlsx
Sevilla,1033112,3001,2016,Vots extrema dreta 2016.xlsx
Huesca,116884,399,2016,Vots extrema dreta 2016.xlsx
Teruel,74922,160,2016,Vots extrema dreta 2016.xlsx
Zaragoza,513135,1614,2016,Vots extrema dreta 2016.xlsx
Asturias,594699,1442,2016,Vots extrema dreta 2016.xlsx
Illes Balears,464787,0,2016,Vots extrema dreta 2016.xlsx
Las Palmas,502506,882,2016,Vots extrema dreta 2016.xlsx
Santa Cruz de Tenerife,476666,0,2016,Vots extrema dreta 2016.xlsx
Cantabria,337567,713,2016,Vots extrema dreta 2016.xlsx
Avila,219473,255,2016,Vots extrema dreta 2016.xlsx
Burgos,279396,0,2016,Vots extrema dreta 2016.xlsx
Leon,115849,274,2016,Vots extrema dreta 2016.xlsx
Palencia,131538,747,2016,Vots extrema dreta 2016.xlsx
Salamanca,367503,1597,2016,Vots extrema dreta 2016.xlsx
Segovia,98917,261,2016,Vots extrema dreta 2016.xlsx
Soria,206981,647,2016,Vots extrema dreta 2016.xlsx
Valladolid,280858,620,2016,Vots extrema dreta 2016.xlsx
Zamora,100626,184,2016,Vots extrema dreta 2016.xlsx
Albacete,202483,0,2016,Vots extrema dreta 2016.xlsx
Ciudad Real,88525,406,2016,Vots extrema dreta 2016.xlsx
Cuenca,49618,182,2016,Vots extrema dreta 2016.xlsx
Guadalajara,315768,1532,2016,Vots extrema dreta 2016.xlsx
Toledo,108893,0,2016,Vots extrema dreta 2016.xlsx
Barcelona,2643933,0,2016,Vots extrema dreta 2016.xlsx
Girona,307853,724,2016,Vots extrema dreta 2016.xlsx
Lleida,181159,198,2016,Vots extrema dreta 2016.xlsx
Tarragona,344620,0,2016,Vots extrema dreta 2016.xlsx
Alacant,377949,617,2016,Vots extrema dreta 2016.xlsx
Castello,236205,409,2016,Vots extrema dreta 2016.xlsx
Valencia,643389,1026,2016,Vots extrema dreta 2016.xlsx
Badajoz,192957,0,2016,Vots extrema dreta 2016.xlsx
Caceres,186177,0,2016,Vots extrema dreta 2016.xlsx
A Coruña,544673,0,2016,Vots extrema dreta 2016.xlsx
Lugo,3465795,20749,2016,Vots extrema dreta 2016.xlsx
Ourense,335335,0,2016,Vots extrema dreta 2016.xlsx
Pontevedra,167640,306,2016,Vots extrema dreta 2016.xlsx
Madrid,365493,0,2016,Vots extrema dreta 2016.xlsx
Murcia,621219,641,2016,Vots extrema dreta 2016.xlsx
Navarra,713592,2622,2016,Vots extrema dreta 2016.xlsx
Araba,172982,366,2016,Vots extrema dreta 2016.xlsx
Bizkaia,875169,2003,2016,Vots extrema dreta 2016.xlsx
Gipuzkoa,299204,1187,2016,Vots extrema dreta 2016.xlsx
La Rioja,1419521,4846,2016,Vots extrema dreta 2016.xlsx
Ceuta,30837,139,2016,Vots extrema dreta 2016.xlsx
Melilla,27121,0,2016,Vots extrema dreta 2016.xlsx
