province_norm,year,votes_per100k_used,denuncies_per100k,ordres_per100k,feminicidis_per100k,atur_annual_mean_pct,immigracio_per100k
a coruna,2000,70.39349509607122,,,,,
a coruna,2003,70.39349509607122,1139.012165812559,0.0,0.2724909487589854,13.755,1654.2017195995472
a coruna,2004,83.82373841200182,1256.4508522230942,490.6313846577213,0.0905223956933065,14.5075,1805.469182102998
a coruna,2005,83.42680559121766,950.4889837876312,365.7805947087945,0.0,9.6325,2149.186228270516
a coruna,2006,83.01842811868228,1973.2565905963247,585.4323278779647,0.0,8.1225,2283.275731454212
a coruna,2007,82.57925512798447,1768.4088868120216,446.7840909192248,0.1783569225226446,8.2225,2509.214364509826
a coruna,2008,99.94692534726684,2128.3024351430404,384.5475673822146,0.1772108605447993,8.9175,588.7830841600959
a coruna,2009,99.3581358722508,2114.0028908989534,356.73798783919835,0.1761669075749127,11.47,363.87274759598233
a coruna,2010,99.111946416286,1754.668058451446,353.21810690910434,0.0878652007236577,13.98,340.30192240272663
a coruna,2011,98.94137986385034,1644.637298268789,348.22453728677823,0.1754279784820041,15.8275,368.13561284448576
a coruna,2012,98.8452283517558,1430.977463638451,314.5872072542583,0.2628862456163718,18.38,261.04604189705725
a coruna,2013,99.13084744571093,1557.2682772499977,363.8313017954284,0.0,20.18,233.32659571663345
a coruna,2014,99.59420658381276,1702.2839565034662,363.7660736926495,0.0882927363331673,19.955,249.9567365591968
a coruna,2015,100.03582843500686,1707.1717175300375,441.6475404311474,0.0886842450664954,17.4075,291.85985051383653
a coruna,2016,100.44389433800974,1952.7789032203489,546.7424744994502,0.0890460056188029,15.4125,408.0087977453552
a coruna,2017,100.68713614721746,2179.769383612633,643.5764642034023,0.0,14.1625,569.5785600668391
a coruna,2018,100.7076318171835,2367.700705489101,684.7761844306716,0.178559630881531,12.23,741.2903076046761
a coruna,2019,2447.8058463164207,2488.3259314264496,697.945078326931,0.0,10.2025,798.888285946849
a coruna,2020,2444.398098385553,2249.566396968255,850.2719265878427,0.0,11.2325,440.28755947001497
a coruna,2021,2447.6551114189097,2308.7886579306933,770.1911912617659,0.0892457927302162,10.6,540.0262918105383
a coruna,2022,2450.5791823182303,2619.8126458678084,718.3933721956746,0.0,10.1,1483.1606449099506
a coruna,2023,2450.341850226536,2807.2292158265445,731.3922077367415,0.0889771542258809,9.1025,1476.219965761591
a coruna,2024,2440.429297203507,2850.815588475864,603.4831879863424,0.1772344164423912,7.98,
alacant,2000,31.44617387594517,,,,,
alacant,2003,31.44617387594517,2353.6002303027003,0.0,0.0648374719091652,12.3375,15942.43210544129
alacant,2004,44.252372089423496,3096.417742392524,1262.6593615924362,0.0624151933560274,10.615,16247.673473667654
alacant,2005,42.66817519829568,2363.2993512511584,1065.1998603805832,0.2407231322893973,9.625,19356.54706739044
alacant,2006,41.36682042599073,4001.904390717496,1220.5837564340284,0.1750359115345165,9.6225,20954.715875873862
alacant,2007,40.13995199057928,3719.5978078717335,1326.4867068254905,0.3396892975225327,10.5025,22244.38380361429
alacant,2008,34.44255603380213,4058.829646347576,1382.6540465326634,0.2200802302479368,13.4875,1568.841921322418
alacant,2009,34.093372270215575,4224.637199681504,1317.4419731893206,0.2178490240908343,21.9625,1098.7760152581457
alacant,2010,34.0201675466079,3883.516250607988,1214.074349826231,0.2173812622786447,24.16,1080.439218840434
alacant,2011,33.93985922006637,3950.7947945147553,1334.8232172492555,0.1626510825242797,23.9075,1175.587807457986
alacant,2012,33.77924454284433,3909.974536061502,1115.3625953683584,0.1618813636238546,28.025,1028.3243821932658
alacant,2013,33.787923030463645,3508.330666102455,1050.340227113135,0.1619229538201133,28.255,1075.2763620014323
alacant,2014,33.870133467803896,3438.413709071785,969.032093304102,0.2705282225862931,26.03,1102.3484013946272
alacant,2015,34.048052353503635,3676.7545352984753,1001.8612210088448,0.3807290199273568,24.22,1163.725444337961
alacant,2016,33.57141652333975,4078.627848605426,992.451600301,0.1632321711021381,20.795,1377.6251133783455
alacant,2017,33.592582409355835,4897.330288041422,1086.722763194072,0.1088900564322717,18.1075,1733.3663633171177
alacant,2018,33.545024000730706,4809.388692227939,1115.086616296575,0.0543679481373269,16.1675,2199.999021376934
alacant,2019,2419.4452469138464,5091.129383459165,1206.758277531767,0.2694859931960176,14.85,2435.614406505608
alacant,2020,2390.783686003663,4343.248153120934,1081.1519007768848,0.1065174286479689,18.0275,1653.097233902154
