year,province,value
2003,Almeria,12780.0
2004,Almeria,13770.0
2005,Almeria,10490.0
2006,Almeria,26660.0
2007,Almeria,22980.0
2008,Almeria,24810.0
2009,Almeria,26040.0
2010,Almeria,27520.0
2011,Almeria,23570.0
2012,Almeria,21230.0
2013,Almeria,20790.0
2014,Almeria,20840.0
2015,Almeria,23060.0
2016,Almeria,26750.0
2017,Almeria,32990.0
2018,Almeria,43520.0
2019,Almeria,38590.0
2020,Almeria,33650.0
2021,Almeria,33000.0
2022,Almeria,40700.0
2023,Almeria,42710.0
2024,Almeria,43460.0
2003,Cadiz,26360.0
2004,Cadiz,31520.0
2005,Cadiz,31900.0
2006,Cadiz,47230.0
2007,Cadiz,38280.0
2008,Cadiz,45420.0
2009,Cadiz,36930.0
2010,Cadiz,38030.0
2011,Cadiz,34270.0
2012,Cadiz,34620.0
2013,Cadiz,37330.0
2014,Cadiz,38060.0
2015,Cadiz,37660.0
2016,Cadiz,37410.0
2017,Cadiz,40380.0
2018,Cadiz,41560.0
2019,Cadiz,44850.0
2020,Cadiz,50270.0
2021,Cadiz,52060.0
2022,Cadiz,55210.0
2023,Cadiz,53510.0
2024,Cadiz,58970.0
2003,Cordoba,13060.0
2004,Cordoba,16710.0
2005,Cordoba,13500.0
2006,Cordoba,18950.0
2007,Cordoba,12690.0
2008,Cordoba,14880.0
2009,Cordoba,13350.0
2010,Cordoba,10260.0
2011,Cordoba,12240.0
2012,Cordoba,11740.0
2013,Cordoba,16270.0
2014,Cordoba,16530.0
2015,Cordoba,16380.0
2016,Cordoba,15110.0
2017,Cordoba,18030.0
2018,Cordoba,18260.0
2019,Cordoba,19330.0
2020,Cordoba,20390.0
2021,Cordoba,23890.0
2022,Cordoba,28400.0
2023,Cordoba,28440.0
2024,Cordoba,28100.0
2003,Granada,22160.0
2004,Granada,28460.0
2005,Granada,22610.0
2006,Granada,33510.0
2007,Granada,40000.0
2008,Granada,41760.0
2009,Granada,38880.0
2010,Granada,36830.0
2011,Granada,33470.0
2012,Granada,34470.0
2013,Granada,32930.0
2014,Granada,34470.0
2015,Granada,34860.0
2016,Granada,38830.0
2017,Granada,40820.0
2018,Granada,35550.0
2019,Granada,37830.0
2020,Granada,39810.0
2021,Granada,49500.0
2022,Granada,53250.0
2023,Granada,58150.0
2024,Granada,51410.0
2003,Huelva,8640.0
2004,Huelva,11080.0
2005,Huelva,8620.0
2006,Huelva,18790.0
2007,Huelva,17340.0
2008,Huelva,19410.0
2009,Huelva,21030.0
2010,Huelva,17120.0
2011,Huelva,14660.0
2012,Huelva,16210.0
2013,Huelva,16400.0
2014,Huelva,16000.0
2015,Huelva,16160.0
2016,Huelva,19320.0
2017,Huelva,23940.0
2018,Huelva,22160.0
2019,Huelva,23270.0
2020,Huelva,24030.0
2021,Huelva,25180.0
2022,Huelva,25720.0
2023,Huelva,26290.0
2024,Huelva,25820.0
2003,Jaen,11270.0
2004,Jaen,10480.0
2005,Jaen,13280.0
2006,Jaen,15210.0
2007,Jaen,10790.0
2008,Jaen,14400.0
2009,Jaen,16340.0
2010,Jaen,15310.0
2011,Jaen,14220.0
2012,Jaen,14610.0
2013,Jaen,14720.0
2014,Jaen,17050.0
2015,Jaen,14820.0
2016,Jaen,16980.0
2017,Jaen,20000.0
2018,Jaen,20310.0
2019,Jaen,20740.0
2020,Jaen,18890.0
2021,Jaen,19990.0
2022,Jaen,22380.0
2023,Jaen,24800.0
2024,Jaen,21100.0
2003,Malaga,42340.0
2004,Malaga,47070.0
2005,Malaga,41500.0
2006,Malaga,67510.0
2007,Malaga,67200.0
2008,Malaga,67400.0
2009,Malaga,51680.0
2010,Malaga,55170.0
2011,Malaga,59810.0
2012,Malaga,63220.0
2013,Malaga,62090.0
2014,Malaga,59230.0
2015,Malaga,61770.0
2016,Malaga,67220.0
2017,Malaga,78540.0
2018,Malaga,79780.0
2019,Malaga,81300.0
2020,Malaga,66560.0
2021,Malaga,68610.0
2022,Malaga,82760.0
2023,Malaga,90430.0
2024,Malaga,86840.0
2003,Sevilla,29020.0
2004,Sevilla,48370.0
2005,Sevilla,37880.0
2006,Sevilla,64950.0
2007,Sevilla,73380.0
2008,Sevilla,62940.0
2009,Sevilla,57180.0
2010,Sevilla,70230.0
2011,Sevilla,78260.0
2012,Sevilla,65810.0
2013,Sevilla,64230.0
