province,year,population,province_norm,atur_annual_mean_pct,n_quarters
Albacete,2003,370383,albacete,7.7,4
Alacant,2003,1542318,alacant,12.3375,4
Almeria,2003,560655,almeria,11.295,4
Araba,2003,290746,araba,9.345,4
Asturias,2003,1062320,asturias,11.3,4
Avila,2003,163549,avila,8.9425,4
Badajoz,2003,656228,badajoz,16.36,4
Illes Balears,2003,883410,illes balears,9.775,4
Barcelona,2003,4956072,barcelona,10.8625,4
Bizkaia,2003,1125115,bizkaia,11.445,4
Burgos,2003,352086,burgos,8.71,4
Caceres,2003,404127,caceres,18.7675,4
Cadiz,2003,1130549,cadiz,23.2525,4
Cantabria,2003,541645,cantabria,10.41,4
Castello,2003,504094,castello,6.7625,4
Ciudad Real,2003,483315,ciudad real,11.0525,4
Cordoba,2003,766005,cordoba,21.085,4
A Coruna,2003,1100954,a coruna,13.755,4
Cuenca,2003,201189,cuenca,9.1975,4
Gipuzkoa,2003,676778,gipuzkoa,6.44,4
Girona,2003,593087,girona,10.39,4
Granada,2003,831320,granada,17.8375,4
Guadalajara,2003,183879,guadalajara,8.747499999999999,4
Huelva,2003,468682,huelva,19.9375,4
Huesca,2003,209449,huesca,3.835,4
Jaen,2003,646844,jaen,18.88,4
Leon,2003,487393,leon,9.53,4
Lleida,2003,371137,lleida,5.6575,4
Lugo,2003,355702,lugo,8.1425,4
Madrid,2003,5638827,madrid,7.3675,4
Malaga,2003,1338402,malaga,16.2425,4
Murcia,2003,1242632,murcia,10.7875,4
Navarra,2003,567888,navarra,5.7975,4
Ourense,2003,337302,ourense,8.535,4
Palencia,2003,173246,palencia,9.19,4
Las Palmas,2003,919570,las palmas,10.425,4
Pontevedra,2003,911201,pontevedra,14.3175,4
La Rioja,2003,284609,la rioja,6.0325,4
Salamanca,2003,345560,salamanca,15.3775,4
Santa Cruz de Tenerife,2003,836123,santa cruz de tenerife,12.335,4
Segovia,2003,149643,segovia,9.845,4
Sevilla,2003,1748400,sevilla,18.325,4
Soria,2003,91119,soria,4.85,4
Tarragona,2003,636614,tarragona,7.755,4
Teruel,2003,137487,teruel,4.6825,4
Toledo,2003,558376,toledo,11.6975,4
Valencia,2003,2275650,valencia,11.515,4
Valladolid,2003,503347,valladolid,13.1225,4
Zamora,2003,197681,zamora,13.3975,4
Zaragoza,2003,878627,zaragoza,7.5275,4
Ceuta,2003,71110,ceuta,9.46,4
Melilla,2003,65390,melilla,8.355,4
Albacete,2004,374717,albacete,9.005,4
Alacant,2004,1602174,alacant,10.615,4
Almeria,2004,577427,almeria,9.7925,4
Araba,2004,294304,araba,9.3825,4
Asturias,2004,1062408,asturias,10.3225,4
Avila,2004,164651,avila,9.5075,4
Badajoz,2004,659640,badajoz,18.09,4
Illes Balears,2004,912964,illes balears,9.1675,4
Barcelona,2004,5052807,barcelona,10.355,4
Bizkaia,2004,1128049,bizkaia,11.795,4
Burgos,2004,354228,burgos,8.4875,4
Caceres,2004,404734,caceres,15.845,4
Cadiz,2004,1144129,cadiz,22.7775,4
Cantabria,2004,548009,cantabria,10.5625,4
Castello,2004,518182,castello,8.52,4
Ciudad Real,2004,488058,ciudad real,9.6625,4
Cordoba,2004,770517,cordoba,20.835,4
A Coruna,2004,1104699,a coruna,14.5075,4
Cuenca,2004,203133,cuenca,8.715,4
Gipuzkoa,2004,680750,gipuzkoa,6.7975,4
Girona,2004,618291,girona,8.6875,4
Granada,2004,842810,granada,13.3775,4
Guadalajara,2004,193139,guadalajara,8.065,4
Huelva,2004,473452,huelva,16.0775,4
Huesca,2004,211743,huesca,5.415,4
Jaen,2004,649924,jaen,18.245,4
Leon,2004,487073,leon,8.3375,4
Lleida,2004,380554,lleida,4.695,4
Lugo,2004,354345,lugo,8.8325,4
Madrid,2004,5766566,madrid,6.737500000000001,4
Malaga,2004,1373760,malaga,14.985,4
Murcia,2004,1276812,murcia,10.7275,4
Navarra,2004,576346,navarra,5.5725,4
Ourense,2004,336018,ourense,13.28,4
Palencia,2004,172692,palencia,7.445,4
Las Palmas,2004,943646,las palmas,11.0025,4
Pontevedra,2004,916516,pontevedra,14.1575,4
La Rioja,2004,291082,la rioja,5.9475,4
Salamanca,2004,345714,salamanca,15.63,4
Santa Cruz de Tenerife,2004,860609,santa cruz de tenerife,12.9275,4
Segovia,2004,151733,segovia,8.67,4
Sevilla,2004,1764493,sevilla,17.2625,4
Soria,2004,91778,soria,4.3,4
Tarragona,2004,661094,tarragona,8.5625,4
Teruel,2004,138393,teruel,4.345000000000001,4
Toledo,2004,574502,toledo,10.46,4
Valencia,2004,2321592,valencia,10.7775,4
Valladolid,2004,506393,valladolid,13.4325,4
Zamora,2004,196853,zamora,12.065,4
Zaragoza,2004,887658,zaragoza,5.8825,4
Ceuta,2004,71542,ceuta,10.8525,4
Melilla,2004,64754,melilla,17.5875,4
Albacete,2005,379276,albacete,9.84,4
Alacant,2005,1661660,alacant,9.625,4
Almeria,2005,603215,almeria,9.2,4
Araba,2005,298830,araba,7.157500000000001,4
Asturias,2005,1062755,asturias,10.0375,4
Avila,2005,166166,avila,8.59,4
Badajoz,2005,664407,badajoz,17.43,4
Illes Balears,2005,940124,illes balears,7.292499999999999,4
Barcelona,2005,5143472,barcelona,6.890000000000001,4
Bizkaia,2005,1132163,bizkaia,8.5375,4
Burgos,2005,357690,burgos,6.805,4
Caceres,2005,405687,caceres,12.95,4
Cadiz,2005,1160689,cadiz,17.64,4
Cantabria,2005,554690,cantabria,8.504999999999999,4
Castello,2005,533625,castello,7.4775,4
Ciudad Real,2005,494021,ciudad real,10.65,4
Cordoba,2005,775835,cordoba,14.845,4
A Coruna,2005,1109955,a coruna,9.6325,4
Cuenca,2005,205786,cuenca,6.425,4
Gipuzkoa,2005,684269,gipuzkoa,5.695,4
Girona,2005,645160,girona,7.3225,4
Granada,2005,856429,granada,13.1175,4
Guadalajara,2005,202525,guadalajara,6.9775,4
Huelva,2005,479910,huelva,15.6825,4
Huesca,2005,214552,huesca,6.8025,4
Jaen,2005,653779,jaen,15.9575,4
Leon,2005,487440,leon,10.845,4
Lleida,2005,392921,lleida,6.175,4
Lugo,2005,353357,lugo,6.72,4
Madrid,2005,5866186,madrid,6.835,4
Malaga,2005,1415713,malaga,11.56,4
Murcia,2005,1313496,murcia,8.0375,4
Navarra,2005,584367,navarra,5.654999999999999,4
Ourense,2005,335063,ourense,10.655,4
Palencia,2005,172377,palencia,7.3925,4
Las Palmas,2005,967922,las palmas,12.6775,4
Pontevedra,2005,922305,pontevedra,11.0475,4
La Rioja,2005,298050,la rioja,6.375,4
Salamanca,2005,346313,salamanca,9.3975,4
Santa Cruz de Tenerife,2005,885233,santa cruz de tenerife,10.6025,4
Segovia,2005,154209,segovia,6.855,4
Sevilla,2005,1785135,sevilla,13.8,4
Soria,2005,92265,soria,5.215,4
Tarragona,2005,689266,tarragona,7.1375,4
Teruel,2005,139827,teruel,4.7375,4
Toledo,2005,592396,toledo,9.3875,4
Valencia,2005,2371882,valencia,8.71,4
Valladolid,2005,510004,valladolid,9.095,4
Zamora,2005,196342,zamora,10.2275,4
Zaragoza,2005,900698,zaragoza,5.8475,4
Ceuta,2005,71983,ceuta,19.44,4
Melilla,2005,64914,melilla,14.2575,4
Albacete,2006,383458,albacete,10.015,4
Alacant,2006,1713934,alacant,9.6225,4
Almeria,2006,627719,almeria,9.265,4
Araba,2006,302481,araba,7.29,4
Asturias,2006,1063488,asturias,9.1625,4
Avila,2006,167950,avila,6.842499999999999,4
Badajoz,2006,668510,badajoz,14.625,4
Illes Balears,2006,970288,illes balears,6.5,4
Barcelona,2006,5221848,barcelona,6.547499999999999,4
Bizkaia,2006,1136766,bizkaia,7.985,4
Burgos,2006,360694,burgos,7.065,4
Caceres,2006,406420,caceres,11.1525,4
Cadiz,2006,1176671,cadiz,15.3475,4
Cantabria,2006,561042,cantabria,6.465,4
Castello,2006,548375,castello,6.2575,4
Ciudad Real,2006,500916,ciudad real,10.9275,4
Cordoba,2006,780679,cordoba,14.485,4
A Coruna,2006,1115415,a coruna,8.1225,4
Cuenca,2006,208120,cuenca,6.9475,4
Gipuzkoa,2006,688423,gipuzkoa,5.7575,4
Girona,2006,668911,girona,6.3775,4
Granada,2006,871597,granada,10.985,4
Guadalajara,2006,213166,guadalajara,6.6625,4
Huelva,2006,488528,huelva,14.0875,4
Huesca,2006,217247,huesca,5.4975000000000005,4
Jaen,2006,656526,jaen,13.6375,4
Leon,2006,488534,leon,8.93,4
Lleida,2006,401661,lleida,6.3925,4
Lugo,2006,352624,lugo,6.565,4
Madrid,2006,5953604,madrid,6.3025,4
Malaga,2006,1456083,malaga,11.02,4
Murcia,2006,1351109,murcia,7.877499999999999,4
Navarra,2006,592146,navarra,5.375,4
Ourense,2006,334127,ourense,8.985,4
Palencia,2006,172438,palencia,7.192500000000001,4
Las Palmas,2006,991822,las palmas,11.9675,4
Pontevedra,2006,927931,pontevedra,9.0425,4
La Rioja,2006,302697,la rioja,6.1125,4
Salamanca,2006,346299,salamanca,10.05,4
Santa Cruz de Tenerife,2006,907787,santa cruz de tenerife,11.23,4
Segovia,2006,156275,segovia,7.525,4
Sevilla,2006,1807971,sevilla,12.845,4
Soria,2006,92736,soria,5.217499999999999,4
Tarragona,2006,718448,tarragona,6.265,4
Teruel,2006,141281,teruel,3.7575,4
Toledo,2006,611787,toledo,7.945,4
Valencia,2006,2418730,valencia,7.935,4
Valladolid,2006,513751,valladolid,8.02,4
Zamora,2006,195999,zamora,9.1325,4
Zaragoza,2006,915041,zaragoza,5.779999999999999,4
Ceuta,2006,72806,ceuta,21.225,4
Melilla,2006,67110,melilla,13.6025,4
Albacete,2007,389127,albacete,9.1625,4
Alacant,2007,1766320,alacant,10.5025,4
Almeria,2007,642797,almeria,11.445,4
Araba,2007,306475,araba,5.44,4
Asturias,2007,1065291,asturias,8.4175,4
Avila,2007,170206,avila,6.94,4
Badajoz,2007,674169,badajoz,14.0375,4
Illes Balears,2007,1005184,illes balears,7.217499999999999,4
Barcelona,2007,5297174,barcelona,6.5225,4
Bizkaia,2007,1142686,bizkaia,7.1625,4
Burgos,2007,365303,burgos,6.5225,4
Caceres,2007,407706,caceres,11.165,4
Cadiz,2007,1193632,cadiz,15.02,4
Cantabria,2007,568190,cantabria,5.9625,4
Castello,2007,567548,castello,6.8025,4
Ciudad Real,2007,509228,ciudad real,9.27,4
Cordoba,2007,786384,cordoba,13.78,4
A Coruna,2007,1121347,a coruna,8.2225,4
Cuenca,2007,211114,cuenca,5.7575,4
Gipuzkoa,2007,693439,gipuzkoa,5.0925,4
Girona,2007,694222,girona,7.9625,4
Granada,2007,885032,granada,11.8825,4
Guadalajara,2007,225058,guadalajara,5.0025,4
Huelva,2007,495171,huelva,14.025,4
Huesca,2007,220090,huesca,4.0375,4
Jaen,2007,659840,jaen,13.0525,4
Leon,2007,491130,leon,7.6875,4
Lleida,2007,411141,lleida,3.0325,4
Lugo,2007,352247,lugo,5.76,4
Madrid,2007,6074984,madrid,6.2425,4
Malaga,2007,1491784,malaga,10.835,4
Murcia,2007,1385715,murcia,7.54,4
Navarra,2007,602831,navarra,4.72,4
Ourense,2007,333549,ourense,5.775,4
Palencia,2007,172566,palencia,6.16,4
Las Palmas,2007,1016209,las palmas,11.2325,4
Pontevedra,2007,933944,pontevedra,8.0175,4
La Rioja,2007,308118,la rioja,5.7675,4
Salamanca,2007,347713,salamanca,8.585,4
Santa Cruz de Tenerife,2007,929862,santa cruz de tenerife,9.5775,4
Segovia,2007,159139,segovia,5.5975,4
Sevilla,2007,1831956,sevilla,12.9425,4
Soria,2007,93430,soria,4.715,4
Tarragona,2007,749156,tarragona,6.5025,4
Teruel,2007,143622,teruel,4.475,4
Toledo,2007,636696,toledo,7.1025,4
Valencia,2007,2467761,valencia,7.9925,4
Valladolid,2007,518851,valladolid,7.0600000000000005,4
Zamora,2007,195863,zamora,8.397499999999999,4
Zaragoza,2007,930533,zaragoza,5.6975,4
Ceuta,2007,74155,ceuta,21.005,4
Melilla,2007,68968,melilla,18.1725,4
Albacete,2008,394521,albacete,12.1975,4
Alacant,2008,1817519,alacant,13.4875,4
Almeria,2008,659443,almeria,19.3925,4
Araba,2008,310944,araba,4.985,4
Asturias,2008,1071081,asturias,8.5,4
Avila,2008,173290,avila,11.275,4
Badajoz,2008,680675,badajoz,15.8275,4
Illes Balears,2008,1042855,illes balears,10.1875,4
Barcelona,2008,5387706,barcelona,8.6175,4
Bizkaia,2008,1149084,bizkaia,7.917499999999999,4
Burgos,2008,372561,burgos,9.16,4
Caceres,2008,408975,caceres,14.5025,4
Cadiz,2008,1209067,cadiz,19.235,4
Cantabria,2008,577266,cantabria,7.16,4
Castello,2008,588015,castello,10.685,4
Ciudad Real,2008,519759,ciudad real,13.505,4
Cordoba,2008,792681,cordoba,16.322499999999998,4
A Coruna,2008,1128599,a coruna,8.9175,4
Cuenca,2008,214903,cuenca,7.9675,4
Gipuzkoa,2008,699398,gipuzkoa,5.335,4
Girona,2008,719747,girona,10.96,4
