province,year,value
Almeria,2003,1
Cadiz,2003,3
Cordoba,2003,1
Granada,2003,1
Huelva,2003,0
Jaen,2003,3
Malaga,2003,2
Sevilla,2003,2
Huesca,2003,0
Teruel,2003,1
Zaragoza,2003,1
Asturias,2003,2
Illes Balears,2003,4
Las Palmas,2003,3
Santa Cruz de Tenerife,2003,3
Cantabria,2003,1
Avila,2003,0
Burgos,2003,0
Leon,2003,1
Palencia,2003,0
Salamanca,2003,1
Segovia,2003,0
Soria,2003,0
Valladolid,2003,2
Zamora,2003,0
Albacete,2003,1
Ciudad Real,2003,0
Cuenca,2003,0
Guadalajara,2003,0
Toledo,2003,1
Barcelona,2003,7
Girona,2003,2
Lleida,2003,1
Tarragona,2003,2
Alacant,2003,1
Castello,2003,1
Valencia,2003,5
Badajoz,2003,1
Caceres,2003,0
A Coruña,2003,3
Lugo,2003,0
Ourense,2003,0
Pontevedra,2003,2
Madrid,2003,5
Murcia,2003,3
Navarra,2003,1
Araba,2003,0
Bizkaia,2003,0
Gipuzkoa,2003,0
La Rioja,2003,2
Ceuta,2003,1
Melilla,2003,0
Almeria,2004,2
Cadiz,2004,3
Cordoba,2004,4
Granada,2004,4
Huelva,2004,1
Jaen,2004,0
Malaga,2004,1
Sevilla,2004,4
Huesca,2004,0
Teruel,2004,0
Zaragoza,2004,2
Asturias,2004,0
Illes Balears,2004,2
Las Palmas,2004,1
Santa Cruz de Tenerife,2004,1
Cantabria,2004,2
Avila,2004,0
Burgos,2004,0
Leon,2004,2
Palencia,2004,0
Salamanca,2004,0
Segovia,2004,0
Soria,2004,0
Valladolid,2004,0
Zamora,2004,0
Albacete,2004,2
Ciudad Real,2004,0
Cuenca,2004,0
Guadalajara,2004,1
Toledo,2004,1
Barcelona,2004,8
Girona,2004,0
Lleida,2004,0
Tarragona,2004,3
Alacant,2004,1
Castello,2004,0
Valencia,2004,8
Badajoz,2004,1
Caceres,2004,1
A Coruña,2004,1
Lugo,2004,0
Ourense,2004,1
Pontevedra,2004,0
Madrid,2004,5
Murcia,2004,4
Navarra,2004,1
Araba,2004,0
Bizkaia,2004,4
Gipuzkoa,2004,0
La Rioja,2004,1
Ceuta,2004,0
Melilla,2004,0
Almeria,2005,2
Cadiz,2005,0
Cordoba,2005,1
Granada,2005,1
Huelva,2005,0
Jaen,2005,0
Malaga,2005,3
Sevilla,2005,2
Huesca,2005,1
Teruel,2005,0
Zaragoza,2005,3
Asturias,2005,1
Illes Balears,2005,4
Las Palmas,2005,4
Santa Cruz de Tenerife,2005,2
Cantabria,2005,0
Avila,2005,1
Burgos,2005,1
Leon,2005,2
Palencia,2005,0
Salamanca,2005,0
Segovia,2005,0
Soria,2005,0
Valladolid,2005,0
Zamora,2005,0
Albacete,2005,0
Ciudad Real,2005,1
Cuenca,2005,0
Guadalajara,2005,0
Toledo,2005,1
Barcelona,2005,3
Girona,2005,2
Lleida,2005,1
Tarragona,2005,2
Alacant,2005,4
Castello,2005,0
Valencia,2005,2
Badajoz,2005,0
Caceres,2005,0
A Coruña,2005,0
Lugo,2005,0
Ourense,2005,0
Pontevedra,2005,1
Madrid,2005,4
Murcia,2005,2
Navarra,2005,2
Araba,2005,0
Bizkaia,2005,3
Gipuzkoa,2005,0
La Rioja,2005,0
Ceuta,2005,0
Melilla,2005,1
Almeria,2006,3
Cadiz,2006,1
Cordoba,2006,2
Granada,2006,5
Huelva,2006,0
Jaen,2006,3
Malaga,2006,4
Sevilla,2006,3
Huesca,2006,0
Teruel,2006,0
Zaragoza,2006,1
Asturias,2006,3
Illes Balears,2006,3
Las Palmas,2006,3
Santa Cruz de Tenerife,2006,1
Cantabria,2006,0
Avila,2006,1
Burgos,2006,1
Leon,2006,0
Palencia,2006,0
Salamanca,2006,0
Segovia,2006,0
Soria,2006,0
Valladolid,2006,1
Zamora,2006,0
Albacete,2006,0
Ciudad Real,2006,3
Cuenca,2006,1
Guadalajara,2006,0
Toledo,2006,0
Barcelona,2006,6
Girona,2006,2
Lleida,2006,2
