province,year,value
Albacete,2003,13318
Alacant,2003,245883
Almeria,2003,56276
Araba,2003,10445
Asturias,2003,19691
Avila,2003,3514
Badajoz,2003,7167
Illes Balears,2003,126505
Barcelona,2003,398459
Bizkaia,2003,23908
Burgos,2003,10908
Caceres,2003,10718
Cadiz,2003,19904
Cantabria,2003,13677
Castello,2003,43789
Ciudad Real,2003,12742
Cordoba,2003,8445
A Coruna,2003,18212
Cuenca,2003,8106
Gipuzkoa,2003,14878
Girona,2003,69550
Granada,2003,23113
Guadalajara,2003,10627
Huelva,2003,12128
Huesca,2003,9678
Jaen,2003,7149
Leon,2003,11475
Lleida,2003,24107
Lugo,2003,5229
Madrid,2003,589215
Malaga,2003,130146
Murcia,2003,113912
Navarra,2003,38741
Ourense,2003,10055
Palencia,2003,2237
Las Palmas,2003,89370
Pontevedra,2003,20312
La Rioja,2003,20570
Salamanca,2003,7034
Santa Cruz de Tenerife,2003,90123
Segovia,2003,7470
Sevilla,2003,25740
Soria,2003,3375
Tarragona,2003,50892
Teruel,2003,6016
Toledo,2003,26106
Valencia,2003,124088
Valladolid,2003,11325
Zamora,2003,2102
Zaragoza,2003,46202
Ceuta,2003,3203
Melilla,2003,6333
Albacete,2004,16065
Alacant,2004,260316
Almeria,2004,66181
Araba,2004,12058
Asturias,2004,22429
Avila,2004,4448
Badajoz,2004,8600
Illes Balears,2004,131423
Barcelona,2004,469236
Bizkaia,2004,28876
Burgos,2004,13331
Caceres,2004,11466
Cadiz,2004,21409
Cantabria,2004,16364
Castello,2004,52247
Ciudad Real,2004,16945
Cordoba,2004,10303
A Coruna,2004,19945
Cuenca,2004,10325
Gipuzkoa,2004,18232
Girona,2004,79133
Granada,2004,26876
Guadalajara,2004,13504
Huelva,2004,14428
Huesca,2004,11905
Jaen,2004,8745
Leon,2004,11577
Lleida,2004,31370
Lugo,2004,5542
Madrid,2004,664255
Malaga,2004,144462
Murcia,2004,132918
Navarra,2004,43376
Ourense,2004,10283
Palencia,2004,2765
Las Palmas,2004,91080
Pontevedra,2004,22617
La Rioja,2004,24988
Salamanca,2004,8838
Santa Cruz de Tenerife,2004,94701
Segovia,2004,9370
Sevilla,2004,29166
Soria,2004,4209
Tarragona,2004,63107
Teruel,2004,7428
Toledo,2004,32019
Valencia,2004,151754
Valladolid,2004,14139
Zamora,2004,2623
Zaragoza,2004,58212
Ceuta,2004,2863
Melilla,2004,5874
Albacete,2005,20552
Alacant,2005,321640
Almeria,2005,93058
Araba,2005,15141
Asturias,2005,26797
Avila,2005,6073
Badajoz,2005,12466
Illes Balears,2005,156270
Barcelona,2005,569305
Bizkaia,2005,36217
Burgos,2005,17357
Caceres,2005,12875
Cadiz,2005,27720
Cantabria,2005,20547
Castello,2005,65638
Ciudad Real,2005,22532
Cordoba,2005,13856
A Coruna,2005,23855
Cuenca,2005,14259
Gipuzkoa,2005,21536
Girona,2005,100367
Granada,2005,36318
Guadalajara,2005,17316
Huelva,2005,18809
Huesca,2005,15132
Jaen,2005,11388
Leon,2005,14184
Lleida,2005,45144
Lugo,2005,6930
Madrid,2005,780752
Malaga,2005,181589
Murcia,2005,165016
Navarra,2005,49882
Ourense,2005,11343
Palencia,2005,3524
Las Palmas,2005,108793
Pontevedra,2005,27235
La Rioja,2005,31075
Salamanca,2005,11080
Santa Cruz de Tenerife,2005,113467
Segovia,2005,11933
Sevilla,2005,37469
Soria,2005,5370
Tarragona,2005,84088
Teruel,2005,9756
Toledo,2005,40564
Valencia,2005,194707
Valladolid,2005,18080
Zamora,2005,3717
Zaragoza,2005,71960
Ceuta,2005,3037
Melilla,2005,2891
Albacete,2006,22811
Alacant,2006,359150
Almeria,2006,110656
Araba,2006,16857
Asturias,2006,30258
Avila,2006,7026
Badajoz,2006,14566
Illes Balears,2006,167751
Barcelona,2006,645737
Bizkaia,2006,43395
Burgos,2006,20875
Caceres,2006,12901
Cadiz,2006,31869
Cantabria,2006,23834
Castello,2006,77841
Ciudad Real,2006,27888
Cordoba,2006,15397
A Coruna,2006,25468
Cuenca,2006,15324
Gipuzkoa,2006,25290
Girona,2006,116284
Granada,2006,43254
Guadalajara,2006,20459
Huelva,2006,24368
Huesca,2006,17100
Jaen,2006,13061
Leon,2006,17201
Lleida,2006,52633
Lugo,2006,7992
Madrid,2006,800512
Malaga,2006,203977
