province,year,value
Albacete,2003,370383
Alacant,2003,1542318
Almeria,2003,560655
Araba,2003,290746
Asturias,2003,1062320
Avila,2003,163549
Badajoz,2003,656228
Illes Balears,2003,883410
Barcelona,2003,4956072
Bizkaia,2003,1125115
Burgos,2003,352086
Caceres,2003,404127
Cadiz,2003,1130549
Cantabria,2003,541645
Castello,2003,504094
Ciudad Real,2003,483315
Cordoba,2003,766005
A Coruna,2003,1100954
Cuenca,2003,201189
Gipuzkoa,2003,676778
Girona,2003,593087
Granada,2003,831320
Guadalajara,2003,183879
Huelva,2003,468682
Huesca,2003,209449
Jaen,2003,646844
Leon,2003,487393
Lleida,2003,371137
Lugo,2003,355702
Madrid,2003,5638827
Malaga,2003,1338402
Murcia,2003,1242632
Navarra,2003,567888
Ourense,2003,337302
Palencia,2003,173246
Las Palmas,2003,919570
Pontevedra,2003,911201
La Rioja,2003,284609
Salamanca,2003,345560
Santa Cruz de Tenerife,2003,836123
Segovia,2003,149643
Sevilla,2003,1748400
Soria,2003,91119
Tarragona,2003,636614
Teruel,2003,137487
Toledo,2003,558376
Valencia,2003,2275650
Valladolid,2003,503347
Zamora,2003,197681
Zaragoza,2003,878627
Ceuta,2003,71110
Melilla,2003,65390
Albacete,2004,374717
Alacant,2004,1602174
Almeria,2004,577427
Araba,2004,294304
Asturias,2004,1062408
Avila,2004,164651
Badajoz,2004,659640
Illes Balears,2004,912964
Barcelona,2004,5052807
Bizkaia,2004,1128049
Burgos,2004,354228
Caceres,2004,404734
Cadiz,2004,1144129
Cantabria,2004,548009
Castello,2004,518182
Ciudad Real,2004,488058
Cordoba,2004,770517
A Coruna,2004,1104699
Cuenca,2004,203133
Gipuzkoa,2004,680750
Girona,2004,618291
Granada,2004,842810
Guadalajara,2004,193139
Huelva,2004,473452
Huesca,2004,211743
Jaen,2004,649924
Leon,2004,487073
Lleida,2004,380554
Lugo,2004,354345
Madrid,2004,5766566
Malaga,2004,1373760
Murcia,2004,1276812
Navarra,2004,576346
Ourense,2004,336018
Palencia,2004,172692
Las Palmas,2004,943646
Pontevedra,2004,916516
La Rioja,2004,291082
Salamanca,2004,345714
Santa Cruz de Tenerife,2004,860609
Segovia,2004,151733
Sevilla,2004,1764493
Soria,2004,91778
Tarragona,2004,661094
Teruel,2004,138393
Toledo,2004,574502
Valencia,2004,2321592
Valladolid,2004,506393
Zamora,2004,196853
Zaragoza,2004,887658
Ceuta,2004,71542
Melilla,2004,64754
Albacete,2005,379276
Alacant,2005,1661660
Almeria,2005,603215
Araba,2005,298830
Asturias,2005,1062755
Avila,2005,166166
Badajoz,2005,664407
Illes Balears,2005,940124
Barcelona,2005,5143472
Bizkaia,2005,1132163
Burgos,2005,357690
Caceres,2005,405687
Cadiz,2005,1160689
Cantabria,2005,554690
Castello,2005,533625
Ciudad Real,2005,494021
Cordoba,2005,775835
A Coruna,2005,1109955
Cuenca,2005,205786
Gipuzkoa,2005,684269
Girona,2005,645160
Granada,2005,856429
Guadalajara,2005,202525
Huelva,2005,479910
Huesca,2005,214552
Jaen,2005,653779
Leon,2005,487440
Lleida,2005,392921
Lugo,2005,353357
Madrid,2005,5866186
Malaga,2005,1415713
Murcia,2005,1313496
Navarra,2005,584367
Ourense,2005,335063
Palencia,2005,172377
Las Palmas,2005,967922
Pontevedra,2005,922305
La Rioja,2005,298050
Salamanca,2005,346313
Santa Cruz de Tenerife,2005,885233
Segovia,2005,154209
Sevilla,2005,1785135
Soria,2005,92265
Tarragona,2005,689266
Teruel,2005,139827
Toledo,2005,592396
Valencia,2005,2371882
Valladolid,2005,510004
Zamora,2005,196342
Zaragoza,2005,900698
Ceuta,2005,71983
Melilla,2005,64914
Albacete,2006,383458
Alacant,2006,1713934
Almeria,2006,627719
Araba,2006,302481
Asturias,2006,1063488
Avila,2006,167950
Badajoz,2006,668510
Illes Balears,2006,970288
Barcelona,2006,5221848
Bizkaia,2006,1136766
Burgos,2006,360694
Caceres,2006,406420
Cadiz,2006,1176671
Cantabria,2006,561042
Castello,2006,548375
Ciudad Real,2006,500916
Cordoba,2006,780679
A Coruna,2006,1115415
Cuenca,2006,208120
Gipuzkoa,2006,688423
Girona,2006,668911
Granada,2006,871597
Guadalajara,2006,213166
Huelva,2006,488528
Huesca,2006,217247
Jaen,2006,656526
Leon,2006,488534
Lleida,2006,401661
Lugo,2006,352624
Madrid,2006,5953604
Malaga,2006,1456083
Murcia,2006,1351109
Navarra,2006,592146
Ourense,2006,334127
Palencia,2006,172438
Las Palmas,2006,991822
Pontevedra,2006,927931
La Rioja,2006,302697
Salamanca,2006,346299
Santa Cruz de Tenerife,2006,907787
Segovia,2006,156275
Sevilla,2006,1807971
Soria,2006,92736
Tarragona,2006,718448
Teruel,2006,141281
Toledo,2006,611787
Valencia,2006,2418730
Valladolid,2006,513751
Zamora,2006,195999
Zaragoza,2006,915041
Ceuta,2006,72806
Melilla,2006,67110
Albacete,2007,389127
Alacant,2007,1766320
Almeria,2007,642797
Araba,2007,306475
Asturias,2007,1065291
Avila,2007,170206
Badajoz,2007,674169
Illes Balears,2007,1005184
Barcelona,2007,5297174
Bizkaia,2007,1142686
Burgos,2007,365303
Caceres,2007,407706
Cadiz,2007,1193632
Cantabria,2007,568190
Castello,2007,567548
Ciudad Real,2007,509228
Cordoba,2007,786384
A Coruna,2007,1121347
Cuenca,2007,211114
Gipuzkoa,2007,693439
Girona,2007,694222
Granada,2007,885032
Guadalajara,2007,225058
Huelva,2007,495171
Huesca,2007,220090
Jaen,2007,659840
Leon,2007,491130
Lleida,2007,411141
Lugo,2007,352247
Madrid,2007,6074984
Malaga,2007,1491784
Murcia,2007,1385715
Navarra,2007,602831
Ourense,2007,333549
Palencia,2007,172566
Las Palmas,2007,1016209
Pontevedra,2007,933944
La Rioja,2007,308118
Salamanca,2007,347713
