province_norm,year,population,province
a coruna,2003,1100954.0,A Coruna
a coruna,2004,1104699.0,A Coruna
a coruna,2005,1109955.0,A Coruna
a coruna,2006,1115415.0,A Coruna
a coruna,2007,1121347.0,A Coruna
a coruna,2008,1128599.0,A Coruna
a coruna,2009,1135287.0,A Coruna
a coruna,2010,1138107.0,A Coruna
a coruna,2011,1140069.0,A Coruna
a coruna,2012,1141178.0,A Coruna
a coruna,2013,1137890.0,A Coruna
a coruna,2014,1132596.0,A Coruna
a coruna,2015,1127596.0,A Coruna
a coruna,2016,1123015.0,A Coruna
a coruna,2017,1120302.0,A Coruna
a coruna,2018,1120074.0,A Coruna
a coruna,2019,1120432.0,A Coruna
a coruna,2020,1121994.0,A Coruna
a coruna,2021,1120501.0,A Coruna
a coruna,2022,1119164.0,A Coruna
a coruna,2023,1123884.0,A Coruna
a coruna,2024,1128449.0,A Coruna
alacant,2003,1542318.0,Alacant
alacant,2004,1602174.0,Alacant
alacant,2005,1661660.0,Alacant
alacant,2006,1713934.0,Alacant
alacant,2007,1766320.0,Alacant
alacant,2008,1817519.0,Alacant
alacant,2009,1836134.0,Alacant
alacant,2010,1840085.0,Alacant
alacant,2011,1844439.0,Alacant
alacant,2012,1853209.0,Alacant
alacant,2013,1852733.0,Alacant
alacant,2014,1848236.0,Alacant
alacant,2015,1838578.0,Alacant
alacant,2016,1837873.0,Alacant
alacant,2017,1836715.0,Alacant
alacant,2018,1839319.0,Alacant
alacant,2019,1855384.0,Alacant
alacant,2020,1877627.0,Alacant
alacant,2021,1887036.0,Alacant
alacant,2022,1907494.0,Alacant
alacant,2023,1955268.0,Alacant
alacant,2024,1993289.0,Alacant
albacete,2003,370383.0,Albacete
albacete,2004,374717.0,Albacete
albacete,2005,379276.0,Albacete
albacete,2006,383458.0,Albacete
albacete,2007,389127.0,Albacete
albacete,2008,394521.0,Albacete
albacete,2009,397881.0,Albacete
albacete,2010,399448.0,Albacete
albacete,2011,400847.0,Albacete
albacete,2012,401590.0,Albacete
albacete,2013,399093.0,Albacete
albacete,2014,396017.0,Albacete
albacete,2015,394012.0,Albacete
albacete,2016,391865.0,Albacete
albacete,2017,390225.0,Albacete
albacete,2018,388948.0,Albacete
albacete,2019,387818.0,Albacete
albacete,2020,387838.0,Albacete
albacete,2021,386726.0,Albacete
albacete,2022,385967.0,Albacete
albacete,2023,387529.0,Albacete
albacete,2024,389070.0,Albacete
almeria,2003,560655.0,Almeria
almeria,2004,577427.0,Almeria
almeria,2005,603215.0,Almeria
almeria,2006,627719.0,Almeria
almeria,2007,642797.0,Almeria
almeria,2008,659443.0,Almeria
almeria,2009,673042.0,Almeria
almeria,2010,680484.0,Almeria
almeria,2011,686448.0,Almeria
almeria,2012,689320.0,Almeria
almeria,2013,692434.0,Almeria
almeria,2014,690750.0,Almeria
almeria,2015,694051.0,Almeria
almeria,2016,700055.0,Almeria
almeria,2017,704871.0,Almeria
almeria,2018,707319.0,Almeria
almeria,2019,714123.0,Almeria
almeria,2020,724003.0,Almeria
almeria,2021,730430.0,Almeria
almeria,2022,739541.0,Almeria
almeria,2023,753364.0,Almeria
almeria,2024,760964.0,Almeria
araba,2003,290746.0,Araba
araba,2004,294304.0,Araba
araba,2005,298830.0,Araba
araba,2006,302481.0,Araba
araba,2007,306475.0,Araba
araba,2008,310944.0,Araba
araba,2009,315280.0,Araba
araba,2010,317737.0,Araba
araba,2011,319846.0,Araba
araba,2012,320566.0,Araba
araba,2013,320199.0,Araba
araba,2014,320451.0,Araba
araba,2015,321541.0,Araba
araba,2016,322974.0,Araba
araba,2017,325250.0,Araba
araba,2018,327763.0,Araba
araba,2019,330104.0,Araba
araba,2020,332874.0,Araba
araba,2021,333485.0,Araba
araba,2022,333908.0,Araba
araba,2023,336308.0,Araba
araba,2024,338594.0,Araba
asturias,2003,1062320.0,Asturias
asturias,2004,1062408.0,Asturias
asturias,2005,1062755.0,Asturias
asturias,2006,1063488.0,Asturias
asturias,2007,1065291.0,Asturias
asturias,2008,1071081.0,Asturias
asturias,2009,1076280.0,Asturias
asturias,2010,1077103.0,Asturias
asturias,2011,1075877.0,Asturias
asturias,2012,1074304.0,Asturias
asturias,2013,1067425.0,Asturias
asturias,2014,1058560.0,Asturias
asturias,2015,1049328.0,Asturias
asturias,2016,1040407.0,Asturias
asturias,2017,1033550.0,Asturias
asturias,2018,1027091.0,Asturias
asturias,2019,1021469.0,Asturias
asturias,2020,1018053.0,Asturias
asturias,2021,1012117.0,Asturias
asturias,2022,1004960.0,Asturias
asturias,2023,1006060.0,Asturias
asturias,2024,1009599.0,Asturias
avila,2003,163549.0,Avila
avila,2004,164651.0,Avila
avila,2005,166166.0,Avila
avila,2006,167950.0,Avila
avila,2007,170206.0,Avila
avila,2008,173290.0,Avila
avila,2009,173818.0,Avila
avila,2010,173370.0,Avila
avila,2011,172771.0,Avila
avila,2012,171365.0,Avila
avila,2013,169373.0,Avila
avila,2014,167265.0,Avila
avila,2015,165694.0,Avila
avila,2016,163669.0,Avila
avila,2017,161782.0,Avila
avila,2018,160104.0,Avila
avila,2019,159237.0,Avila
avila,2020,158819.0,Avila
avila,2021,158898.0,Avila
avila,2022,159102.0,Avila
avila,2023,159764.0,Avila
avila,2024,160463.0,Avila
badajoz,2003,656228.0,Badajoz
badajoz,2004,659640.0,Badajoz
badajoz,2005,664407.0,Badajoz
badajoz,2006,668510.0,Badajoz
badajoz,2007,674169.0,Badajoz
badajoz,2008,680675.0,Badajoz
badajoz,2009,684391.0,Badajoz
badajoz,2010,687745.0,Badajoz
badajoz,2011,689902.0,Badajoz
badajoz,2012,691842.0,Badajoz
badajoz,2013,690889.0,Badajoz
badajoz,2014,688697.0,Badajoz
