province_norm,years_count,denuncies_total,denuncies_per100k_mean,feminicidis_total,atur_mean_pct
madrid,23,4850760.0,3430.7928649750106,135.0,12.202045454545454
barcelona,23,2968670.0,2455.489603027554,129.0,13.118295454545455
valencia,23,2199200.0,3928.6970244122595,69.0,16.33670454545455
alacant,23,1654850.0,4096.801949802525,73.0,17.776363636363637
sevilla,23,1448230.0,3452.675761156117,49.0,21.995568181818182
malaga,23,1448030.0,4111.409590183056,57.0,21.630340909090908
murcia,23,1283220.0,3994.006156327009,36.0,16.93693181818182
illes balears,23,1103030.0,4535.52192388052,42.0,13.84772727272727
las palmas,23,1054870.0,4468.285407268545,36.0,21.923295454545453
cadiz,23,911830.0,3377.7530177889003,25.0,26.923522727272726
granada,23,839560.0,4195.998849470642,43.0,23.695909090909087
santa cruz de tenerife,23,831920.0,3816.7978578960783,48.0,20.72215909090909
almeria,23,609910.0,3993.8079730770205,40.0,21.46136363636364
zaragoza,23,591680.0,2795.6411495788343,27.0,12.04965909090909
tarragona,23,571080.0,3297.600623336152,36.0,14.783636363636363
asturias,23,562940.0,2452.5253568292246,29.0,14.156704545454545
bizkaia,23,545940.0,2163.020367974448,26.0,11.795340909090909
pontevedra,23,487850.0,2352.238191476336,30.0,15.81159090909091
a coruna,23,483030.0,1952.3507729878868,25.0,12.79
girona,23,474600.0,2915.705718935548,34.0,13.841022727272728
huelva,23,417190.0,3675.985270371119,9.0,22.71534090909091
castello,23,406680.0,3180.585903400868,21.0,16.186818181818182
cordoba,23,386510.0,2240.843581465622,24.0,23.928977272727273
jaen,23,367690.0,2593.0145681568247,20.0,23.749545454545455
navarra,23,355890.0,2524.1538023454073,15.0,10.108295454545454
toledo,23,338230.0,2242.592366103012,16.0,18.328181818181818
cantabria,23,322880.0,2525.386548721531,11.0,11.990568181818183
badajoz,23,322104.0,2166.117005111193,7.0,22.684204545454545
valladolid,23,297060.0,2584.3799612375865,15.0,12.56090909090909
ciudad real,23,282380.0,2545.055088978093,17.0,19.73931818181818
gipuzkoa,23,271200.0,1735.8466082598973,7.0,8.5775
lleida,23,252240.0,2667.8877707167435,13.0,10.235681818181819
leon,23,203370.0,1945.3435347266334,14.0,14.196704545454544
albacete,23,190980.0,2225.170562984215,8.0,17.908409090909092
guadalajara,23,189130.0,3471.0867609270576,9.0,13.521363636363638
araba,23,178320.0,2517.5706895966377,10.0,10.388977272727272
caceres,23,167916.0,1906.395597828251,5.0,19.990909090909092
burgos,23,166960.0,2097.069812120369,11.0,11.372272727272728
la rioja,23,157820.0,2280.7127477843223,9.0,11.510795454545455
ourense,23,138690.0,1981.758716286454,7.0,13.736818181818181
lugo,23,130250.0,1751.8855989784022,10.0,10.543750000000001
salamanca,23,102380.0,1368.556141684461,6.0,14.363977272727272
cuenca,23,91970.0,2036.4538228112417,9.0,14.745227272727272
huesca,23,80960.0,1651.7446715462195,5.0,9.867386363636363
avila,23,76150.0,2095.3897804598305,5.0,16.106022727272727
segovia,23,70330.0,2046.0649963703995,4.0,11.132954545454545
zamora,23,65890.0,1635.0622394759937,2.0,15.441022727272726
palencia,23,63670.0,1746.2516992986864,4.0,12.527613636363638
melilla,23,60860.0,3368.551916360652,5.0,23.775909090909092
ceuta,23,49710.0,2757.395281153075,3.0,24.796818181818182
teruel,23,38890.0,1280.4270550002855,2.0,10.33090909090909
soria,23,32230.0,1602.7360015518739,3.0,9.485227272727272
