province_norm,year,votes,province_votes,province_pop,population,votes_per100k
a coruna,2000,775,A Coruña,,,
a coruna,2004,926,A Coruña,A Coruna,1104699.0,83.82373841200182
a coruna,2008,1128,A Coruña,A Coruna,1128599.0,99.94692534726684
a coruna,2011,0,A Coruña,A Coruna,1140069.0,0.0
a coruna,2016,0,A Coruña,A Coruna,1123015.0,0.0
a coruna,2019,27426,A Coruña,A Coruna,1120432.0,2447.8058463164207
a coruna,2023,27539,A Coruña,A Coruna,1123884.0,2450.341850226536
alacant,2000,485,Alacant,,,
alacant,2004,709,Alacant,Alacant,1602174.0,44.252372089423496
alacant,2008,626,Alacant,Alacant,1817519.0,34.44255603380213
alacant,2011,0,Alacant,Alacant,1844439.0,0.0
alacant,2016,617,Alacant,Alacant,1837873.0,33.57141652333975
alacant,2019,44890,Alacant,Alacant,1855384.0,2419.4452469138464
alacant,2023,53492,Alacant,Alacant,1955268.0,2735.7886489217844
albacete,2000,370,Albacete,,,
albacete,2004,622,Albacete,Albacete,374717.0,165.99193524713317
albacete,2008,520,Albacete,Albacete,394521.0,131.80540452852955
albacete,2011,0,Albacete,Albacete,400847.0,0.0
albacete,2016,0,Albacete,Albacete,391865.0,0.0
albacete,2019,26631,Albacete,Albacete,387818.0,6866.880856484227
albacete,2023,29203,Albacete,Albacete,387529.0,7535.694102892945
almeria,2000,487,Almeria,,,
almeria,2004,609,Almeria,Almeria,577427.0,105.46787732475273
almeria,2008,543,Almeria,Almeria,659443.0,82.342219115223
almeria,2011,493,Almeria,Almeria,686448.0,71.81898701722491
almeria,2016,758,Almeria,Almeria,700055.0,108.27720679089501
almeria,2019,62648,Almeria,Almeria,714123.0,8772.718425257273
almeria,2023,68364,Almeria,Almeria,753364.0,9074.497852299817
araba,2000,150,Araba,,,
araba,2004,711,Araba,Araba,294304.0,241.586930520822
araba,2008,341,Araba,Araba,310944.0,109.66604919213749
araba,2011,0,Araba,Araba,319846.0,0.0
araba,2016,366,Araba,Araba,322974.0,113.32181537832767
araba,2019,16255,Araba,Araba,330104.0,4924.205704868768
araba,2023,17056,Araba,Araba,336308.0,5071.5415630909765
asturias,2000,1075,Asturias,,,
asturias,2004,867,Asturias,Asturias,1062408.0,81.60706621185082
asturias,2008,1343,Asturias,Asturias,1071081.0,125.38734232051544
asturias,2011,0,Asturias,Asturias,1075877.0,0.0
asturias,2016,1442,Asturias,Asturias,1040407.0,138.59960573121865
asturias,2019,72018,Asturias,Asturias,1021469.0,7050.434227568335
asturias,2023,74571,Asturias,Asturias,1006060.0,7412.182176013359
avila,2000,382,Avila,,,
avila,2004,831,Avila,Avila,164651.0,504.7038888315285
avila,2008,597,Avila,Avila,173290.0,344.509204224133
avila,2011,0,Avila,Avila,172771.0,0.0
avila,2016,255,Avila,Avila,163669.0,155.80225943825647
avila,2019,33948,Avila,Avila,159237.0,21319.165771774147
avila,2023,36750,Avila,Avila,159764.0,23002.678951453392
badajoz,2000,299,Badajoz,,,
badajoz,2004,301,Badajoz,Badajoz,659640.0,45.63095021526893
badajoz,2008,427,Badajoz,Badajoz,680675.0,62.7318470635766
badajoz,2011,0,Badajoz,Badajoz,689902.0,0.0
badajoz,2016,0,Badajoz,Badajoz,682970.0,0.0
badajoz,2019,11450,Badajoz,Badajoz,673384.0,1700.3671010894232
badajoz,2023,8643,Badajoz,Badajoz,666049.0,1297.6522748326324
barcelona,2000,2975,Barcelona,,,
barcelona,2004,4973,Barcelona,Barcelona,5052807.0,98.42054129516524
barcelona,2008,5626,Barcelona,Barcelona,5387706.0,104.42292136950309
barcelona,2011,53142,Barcelona,Barcelona,5505667.0,965.2236504677817
barcelona,2016,0,Barcelona,Barcelona,5472926.0,0.0
barcelona,2019,112019,Barcelona,Barcelona,5622704.0,1992.2620859999033
barcelona,2023,201775,Barcelona,Barcelona,5797356.0,3480.4659227413326
bizkaia,2000,1861,Bizkaia,,,
bizkaia,2004,3201,Bizkaia,Bizkaia,1128049.0,283.7642691053314
bizkaia,2008,2367,Bizkaia,Bizkaia,1149084.0,205.9901625990789
