outcome,spec,term,coef,std_err,p_value,ci_low,ci_high,n,r2,adj_r2
denuncies_per100k,HC3,Intercept,1658.8776975635865,88.20114716484115,6.507375918749635e-79,1486.006625725381,1831.7487694017923,1092,0.0888080597832861,0.0862955820069533
denuncies_per100k,HC3,votes_per100k_used,0.00761117263222,0.0032181219558562,0.0180253181327428,0.0013037695008842,0.0139185757635558,1092,0.0888080597832861,0.0862955820069533
denuncies_per100k,HC3,atur_annual_mean_pct,51.101175043513,4.348525998670594,6.947609691092069e-32,42.57822070028257,59.62412938674344,1092,0.0888080597832861,0.0862955820069533
denuncies_per100k,HC3,immigracio_per100k,0.0631713999322154,0.0093195172032159,1.2151543409631294e-11,0.0449054818606107,0.0814373180038202,1092,0.0888080597832861,0.0862955820069533
denuncies_per100k,CLUSTER,Intercept,1658.8776975635865,204.67123417323663,5.270876581471093e-16,1257.7294499126792,2060.0259452144937,1092,0.0888080597832861,0.0862955820069533
denuncies_per100k,CLUSTER,votes_per100k_used,0.00761117263222,0.0059718452924647,0.2024829629144034,-0.0040934290622559,0.019315774326696,1092,0.0888080597832861,0.0862955820069533
denuncies_per100k,CLUSTER,atur_annual_mean_pct,51.101175043513,9.972232035867682,2.985710404294193e-07,31.55595940773581,70.64639067929019,1092,0.0888080597832861,0.0862955820069533
denuncies_per100k,CLUSTER,immigracio_per100k,0.0631713999322154,0.0155901138056881,5.077806140740325e-05,0.032615338358186,0.0937274615062449,1092,0.0888080597832861,0.0862955820069533
ordres_per100k,HC3,Intercept,437.863354196792,26.89821439027526,1.40199401038943e-59,385.14382274341546,490.5828856501685,1092,0.0847399568417951,0.0822162618698516
ordres_per100k,HC3,votes_per100k_used,0.0023700402178851,0.0008290240653414,0.0042520440610414,0.0007451829074989,0.0039948975282714,1092,0.0847399568417951,0.0822162618698516
ordres_per100k,HC3,atur_annual_mean_pct,13.967073740339169,1.368038986146729,1.7968097060393976e-24,11.285766598044887,16.648380882633447,1092,0.0847399568417951,0.0822162618698516
ordres_per100k,HC3,immigracio_per100k,0.0191245591212497,0.0037214695420765,2.7623317301828776e-07,0.011830612849217,0.0264185053932824,1092,0.0847399568417951,0.0822162618698516
ordres_per100k,CLUSTER,Intercept,437.863354196792,50.50483567049242,4.331413441136092e-18,338.875695237513,536.851013156071,1092,0.0847399568417951,0.0822162618698516
ordres_per100k,CLUSTER,votes_per100k_used,0.0023700402178851,0.0014803523490025,0.1093775015885359,-0.0005313970705891,0.0052714775063595,1092,0.0847399568417951,0.0822162618698516
ordres_per100k,CLUSTER,atur_annual_mean_pct,13.967073740339169,2.6049136813404647,8.238840952867495e-08,8.861536742076208,19.07261073860213,1092,0.0847399568417951,0.0822162618698516
ordres_per100k,CLUSTER,immigracio_per100k,0.0191245591212497,0.0045637164393386,2.7825833504856964e-05,0.0101798392644925,0.0280692789780069,1092,0.0847399568417951,0.0822162618698516
feminicidis_per100k,HC3,Intercept,0.0759468984490391,0.0197371948836177,0.0001191310582112,0.0372627073213001,0.114631089576778,1092,0.0245857942515916,0.021896233022506
feminicidis_per100k,HC3,votes_per100k_used,4.184575400677565e-07,7.208988522295773e-07,0.561600158953909,-9.944782467984777e-07,1.8313933269339905e-06,1092,0.0245857942515916,0.021896233022506
feminicidis_per100k,HC3,atur_annual_mean_pct,0.0021529850676369,0.0010387327367711,0.0381998739142172,0.0001171063140027,0.0041888638212711,1092,0.0245857942515916,0.021896233022506
feminicidis_per100k,HC3,immigracio_per100k,1.0868344984859266e-05,1.8744486188559384e-06,6.704817938696973e-09,7.19449320103078e-06,1.4542196768687751e-05,1092,0.0245857942515916,0.021896233022506
feminicidis_per100k,CLUSTER,Intercept,0.0759468984490391,0.0191198712192271,7.122837684382968e-05,0.0384726394703099,0.1134211574277683,1092,0.0245857942515916,0.021896233022506
feminicidis_per100k,CLUSTER,votes_per100k_used,4.184575400677565e-07,1.5912332916939237e-07,0.0085442996135548,1.0658154579563561e-07,7.303335343398774e-07,1092,0.0245857942515916,0.021896233022506
feminicidis_per100k,CLUSTER,atur_annual_mean_pct,0.0021529850676369,0.0010896996987752,0.0481819667316283,1.721290407336951e-05,0.0042887572312005,1092,0.0245857942515916,0.021896233022506
feminicidis_per100k,CLUSTER,immigracio_per100k,1.0868344984859266e-05,2.0184254522490764e-06,7.261967011823495e-08,6.912303792972106e-06,1.4824386176746426e-05,1092,0.0245857942515916,0.021896233022506
denuncies_per100k,FE_CLUSTER,Intercept,895.3004677440106,142.42816452531602,3.2579374246193283e-10,616.1463948902458,1174.4545405977751,1092,0.7796760549396573,0.7636446174426412
denuncies_per100k,FE_CLUSTER,C(province_norm)[T.alacant],2199.6199712100497,94.57525797414792,1.1839624071696262e-119,2014.2558717521351,2384.9840706679643,1092,0.7796760549396573,0.7636446174426412
denuncies_per100k,FE_CLUSTER,C(province_norm)[T.albacete],315.796730098863,67.73052425199764,3.123202339801571e-06,183.04734191093092,448.54611828679504,1092,0.7796760549396573,0.7636446174426412
denuncies_per100k,FE_CLUSTER,C(province_norm)[T.almeria],2078.0661280355707,124.86336273459636,3.4172955056874113e-62,1833.3384340872008,2322.79382198394,1092,0.7796760549396573,0.7636446174426412
