Provincia;Any - Trimestre;Percentatge
Albacete;2024T4;11,37
Albacete;2024T3;9,92
Albacete;2024T2;10,74
Albacete;2024T1;13,23
Albacete;2023T4;12,09
Albacete;2023T3;9,11
Albacete;2023T2;12,74
Albacete;2023T1;13,89
Albacete;2022T4;11,11
Albacete;2022T3;11,01
Albacete;2022T2;12,65
Albacete;2022T1;16,62
Albacete;2021T4;12,02
Albacete;2021T3;15,67
Albacete;2021T2;14,49
Albacete;2021T1;19,93
Albacete;2020T4;17,44
Albacete;2020T3;17,48
Albacete;2020T2;17,41
Albacete;2020T1;20,72
Albacete;2019T4;16,69
Albacete;2019T3;16,5
Albacete;2019T2;17,7
Albacete;2019T1;17,85
Albacete;2018T4;17,59
Albacete;2018T3;16,86
Albacete;2018T2;20,66
Albacete;2018T1;23,82
Albacete;2017T4;22,01
Albacete;2017T3;20,81
Albacete;2017T2;25,32
Albacete;2017T1;24,48
Albacete;2016T4;23,31
Albacete;2016T3;23,06
Albacete;2016T2;24,27
Albacete;2016T1;24,67
Albacete;2015T4;21,97
Albacete;2015T3;23,28
Albacete;2015T2;24,66
Albacete;2015T1;28,82
Albacete;2014T4;27,3
Albacete;2014T3;29,03
Albacete;2014T2;26,62
Albacete;2014T1;27,12
Albacete;2013T4;29
Albacete;2013T3;30,53
Albacete;2013T2;30,59
Albacete;2013T1;33,83
Albacete;2012T4;33,94
Albacete;2012T3;32,17
Albacete;2012T2;32,36
Albacete;2012T1;29,2
Albacete;2011T4;25,4
Albacete;2011T3;25,74
Albacete;2011T2;24,41
Albacete;2011T1;23,31
Albacete;2010T4;21,25
Albacete;2010T3;22,2
Albacete;2010T2;24,06
Albacete;2010T1;23,15
Albacete;2009T4;21,46
Albacete;2009T3;19,17
Albacete;2009T2;19,98
Albacete;2009T1;18,47
Albacete;2008T4;17
Albacete;2008T3;11,47
Albacete;2008T2;10,37
Albacete;2008T1;9,95
Albacete;2007T4;10,54
Albacete;2007T3;7,66
Albacete;2007T2;9,07
Albacete;2007T1;9,38
Albacete;2006T4;8,22
Albacete;2006T3;11,76
Albacete;2006T2;10,8
Albacete;2006T1;9,28
Albacete;2005T4;10,78
Albacete;2005T3;10,54
Albacete;2005T2;7,2
Albacete;2005T1;10,84
Albacete;2004T4;9,86
Albacete;2004T3;9,05
Albacete;2004T2;7,73
Albacete;2004T1;9,38
Albacete;2003T4;7,5
Albacete;2003T3;7,74
Albacete;2003T2;7,51
Albacete;2003T1;8,05
Albacete;2002T4;8,27
Albacete;2002T3;7,46
Albacete;2002T2;5,43
Albacete;2002T1;6,58
Alacant;2024T4;13,31
Alacant;2024T3;13,77
Alacant;2024T2;13,11
Alacant;2024T1;14,37
Alacant;2023T4;13,33
Alacant;2023T3;11,6
Alacant;2023T2;12,74
Alacant;2023T1;15,9
Alacant;2022T4;15,57
Alacant;2022T3;13,65
Alacant;2022T2;14,39
Alacant;2022T1;14,97
Alacant;2021T4;18,91
Alacant;2021T3;18,49
Alacant;2021T2;18,24
Alacant;2021T1;19,18
Alacant;2020T4;19,41
Alacant;2020T3;19,28
Alacant;2020T2;18,41
Alacant;2020T1;15,01
Alacant;2019T4;15,68
Alacant;2019T3;13,57
Alacant;2019T2;14,71
Alacant;2019T1;15,44
Alacant;2018T4;15,63
Alacant;2018T3;15,14
Alacant;2018T2;15,6
Alacant;2018T1;18,3
Alacant;2017T4;17,96
Alacant;2017T3;16,22
Alacant;2017T2;18,48
Alacant;2017T1;19,77
Alacant;2016T4;18,21
Alacant;2016T3;18,61
Alacant;2016T2;22,74
Alacant;2016T1;23,62
Alacant;2015T4;22,96
Alacant;2015T3;23,39
Alacant;2015T2;24,11
Alacant;2015T1;26,42
Alacant;2014T4;24,91
Alacant;2014T3;24,34
Alacant;2014T2;26,08
Alacant;2014T1;28,79
Alacant;2013T4;29,48
Alacant;2013T3;26,87
Alacant;2013T2;27,33
Alacant;2013T1;29,34
Alacant;2012T4;28,2
Alacant;2012T3;27,22
Alacant;2012T2;27,29
Alacant;2012T1;29,39
Alacant;2011T4;25,76
Alacant;2011T3;23,56
Alacant;2011T2;22,73
Alacant;2011T1;23,58
Alacant;2010T4;24,68
Alacant;2010T3;24,8
Alacant;2010T2;23,96
Alacant;2010T1;23,2
Alacant;2009T4;23,36
Alacant;2009T3;21,81
Alacant;2009T2;21,25
Alacant;2009T1;21,43
Alacant;2008T4;15,92
Alacant;2008T3;13,5
Alacant;2008T2;13,57
Alacant;2008T1;10,96
Alacant;2007T4;11,23
Alacant;2007T3;9,46
Alacant;2007T2;10,39
Alacant;2007T1;10,93
Alacant;2006T4;10,42
Alacant;2006T3;8,73
Alacant;2006T2;8,48
Alacant;2006T1;10,86
Alacant;2005T4;10,28
Alacant;2005T3;8,58
Alacant;2005T2;9,38
Alacant;2005T1;10,26
Alacant;2004T4;10,44
Alacant;2004T3;10,6
Alacant;2004T2;11,15
Alacant;2004T1;10,27
Alacant;2003T4;12,05
Alacant;2003T3;11,96
Alacant;2003T2;12,54
Alacant;2003T1;12,8
Alacant;2002T4;10,76
Alacant;2002T3;10,51
Alacant;2002T2;11,47
Alacant;2002T1;10
Almeria;2024T4;14,83
Almeria;2024T3;16,22
Almeria;2024T2;14,19
Almeria;2024T1;15,9
Almeria;2023T4;14,58
Almeria;2023T3;19,86
Almeria;2023T2;16,58
Almeria;2023T1;12,87
Almeria;2022T4;16,36
Almeria;2022T3;20,52
Almeria;2022T2;15,54
Almeria;2022T1;16,18
Almeria;2021T4;15,86
Almeria;2021T3;21,67
Almeria;2021T2;21,96
Almeria;2021T1;17,53
Almeria;2020T4;21,15
Almeria;2020T3;26,55
Almeria;2020T2;20,21
Almeria;2020T1;19,71
Almeria;2019T4;18,53
Almeria;2019T3;19,75
Almeria;2019T2;16,12
Almeria;2019T1;16,06
Almeria;2018T4;18,77
Almeria;2018T3;25,53
Almeria;2018T2;22,52
Almeria;2018T1;23,49
Almeria;2017T4;25,43
Almeria;2017T3;27,65
Almeria;2017T2;23,03
Almeria;2017T1;21,37
Almeria;2016T4;24,84
Almeria;2016T3;22,65
Almeria;2016T2;22,45
Almeria;2016T1;24,39
Almeria;2015T4;25,13
Almeria;2015T3;31,08
Almeria;2015T2;29,09
Almeria;2015T1;30,66
Almeria;2014T4;35,7
Almeria;2014T3;37,53
Almeria;2014T2;35,81
Almeria;2014T1;33,35
Almeria;2013T4;35,69
