province,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A Coruna,18212,19945,23855,25468,28137,6645,4131,3873,4197,2979,2655,2831,3291,4582,6381,8303,8951,4940,6051,16599,16591
Alacant,245883,260316,321640,359150,392907,28514,20175,19881,21683,19057,19922,20374,21396,25319,31837,40465,45190,31039,38160,84745,81414
Albacete,13318,16065,20552,22811,26348,3492,2234,1761,1772,1195,1075,1199,1238,1522,1866,2489,3235,2094,2334,6622,6624
Almeria,56276,66181,93058,110656,116214,17207,9903,8291,7492,5959,5286,5922,6562,7893,10218,13420,15340,11099,12486,25241,22977
Araba,10445,12058,15141,16857,19392,3337,2174,2076,1893,1484,1431,1460,1471,2217,2584,3156,3879,2180,2330,6391,6203
Asturias,19691,22429,26797,30258,32720,7616,5022,4698,4602,3406,2804,2905,3238,4059,4579,5625,7053,4019,4261,13467,14403
Avila,3514,4448,6073,7026,8500,1889,1023,809,671,587,540,478,512,653,830,1148,1504,997,1012,3779,3440
Badajoz,7167,8600,12466,14566,16771,2707,2201,1884,1956,1363,1220,1228,1293,1474,1677,2242,2821,2036,1808,5387,5700
Barcelona,398459,469236,569305,645737,669263,96588,59456,60165,61920,51203,47353,50133,57733,69047,92119,106702,125921,73349,81900,202812,206039
Bizkaia,23908,28876,36217,43395,50092,7698,5534,5377,5763,4105,3523,3993,4429,6161,7910,9978,13009,7407,6429,20050,19714
Burgos,10908,13331,17357,20875,23680,3709,1970,1877,1940,1363,1185,1338,1268,1665,2299,2725,3543,2042,2349,6749,6690
Caceres,10718,11466,12875,12901,12439,1424,1137,1012,899,672,644,592,654,802,1024,1288,1532,893,1177,3955,4164
Cadiz,19904,21409,27720,31869,36888,4926,3593,3402,3346,2945,2687,2763,3054,3714,4712,5838,7592,5476,6368,14296,14090
Cantabria,13677,16364,20547,23834,26795,5838,3747,2777,2805,2088,1674,1697,1871,2527,3237,4248,5123,3064,3515,9472,9230
Castello,43789,52247,65638,77841,88221,6458,5015,4252,3898,2950,2581,3167,3433,4227,4527,6262,7644,4909,5881,18338,18106
Ceuta,3203,2863,3037,3078,3016,438,437,646,756,272,374,362,368,398,419,424,402,440,604,898,804
Ciudad Real,12742,16945,22532,27888,30948,4259,3254,2618,2367,1505,1318,1474,1284,1621,2023,2672,3703,2425,2651,7470,7237
Cordoba,8445,10303,13856,15397,17087,3189,2081,2110,1818,1494,1513,1496,1533,2014,2137,2556,3817,2083,2006,6958,6280
Cuenca,8106,10325,14259,15324,18774,3401,2234,2014,1496,910,616,850,831,1130,1288,1796,2210,1470,1735,5085,4941
Gipuzkoa,14878,18232,21536,25290,29040,6001,3971,3882,3972,3217,3037,3223,3658,4358,5626,6829,8266,4893,4242,12816,12259
Girona,69550,79133,100367,116284,129183,15638,10218,9250,9635,7305,6677,6769,7479,8798,10904,13781,15425,9601,10274,30389,27279
Granada,23113,26876,36318,43254,48874,6995,4835,4115,3704,3020,3035,3143,3701,4494,5772,7398,9096,7051,7518,17554,17374
Guadalajara,10627,13504,17316,20459,25647,3323,2185,1938,1916,1313,1126,1226,1553,1890,2586,3345,3777,2147,2310,7510,7309
Huelva,12128,14428,18809,24368,28264,4307,3768,3931,3311,2758,2221,2788,2132,2463,4234,4735,5257,3708,4539,10455,10810
Huesca,9678,11905,15132,17100,19420,2896,1582,1575,1478,1076,1052,1106,1101,1391,1817,2381,3135,2051,2053,5423,5293
Illes Balears,126505,131423,156270,167751,190170,21965,14657,11263,12150,11465,11091,11074,11890,14351,19319,22541,25411,16434,16931,43896,45349
Jaen,7149,8745,11388,13061,14685,2432,1842,1436,1541,1239,1156,1197,1121,1202,1195,1557,2116,1660,1973,4928,5501
La Rioja,20570,24988,31075,35037,36825,4055,2597,2862,2478,1548,1154,1277,1553,1876,2178,3062,3670,2450,2661,6722,6537
Las Palmas,89370,91080,108793,113782,123899,15397,10827,10177,11154,9702,8819,9547,10314,13222,16197,18139,18968,12545,11930,28859,30967
Leon,11475,11577,14184,17201,19265,3084,1842,1558,1673,1249,1015,1127,1093,1372,1699,2164,2615,1500,1705,5761,5399
Lleida,24107,31370,45144,52633,57560,8385,5220,4695,4503,3066,2651,3202,3345,3900,5024,6530,7887,4983,5408,13932,13450
Lugo,5229,5542,6930,7992,9076,2459,1412,1359,1216,937,801,795,975,1268,1531,2196,2732,1611,1657,5048,5625
Madrid,589215,664255,780752,800512,866910,111273,69391,56824,62494,51727,46915,53759,62164,76500,101076,123255,143386,82174,90762,238354,238039
Malaga,130146,144462,181589,203977,219955,23397,16803,16979,17118,15909,13978,15044,16595,18471,22738,25484,31686,23349,30564,61056,54544
Melilla,6333,5874,2891,3982,5327,761,626,648,770,731,671,682,791,638,687,918,1135,709,1070,2013,2042
Murcia,113912,132918,165016,189053,201700,18598,11604,8519,8454,6962,6616,6896,8085,10386,13889,19175,23325,16318,18392,40902,40240
Navarra,38741,43376,49882,55444,55921,7826,4765,4117,4318,3313,3003,3281,3579,4746,6526,8483,9443,5556,5836,15499,14437
Ourense,10055,10283,11343,12116,12424,2079,1834,1574,1593,1239,1097,1104,1120,1538,2127,2833,2852,1562,2080,5631,5467
Palencia,2237,2765,3524,4029,4631,1015,644,546,526,361,324,313,294,436,559,799,948,562,637,2063,2147
Pontevedra,20312,22617,27235,28180,31805,5675,3579,3252,3243,2246,2083,2095,2416,3240,4399,5886,7243,4294,4396,12003,11732
Salamanca,7034,8838,11080,12504,12307,2918,1914,1751,1483,1332,1223,1089,1173,1321,1861,2462,2838,1933,2369,5545,5278
Santa Cruz de Tenerife,90123,94701,113467,119665,126837,14808,9754,9845,10277,11169,11117,11564,13454,16556,20490,23619,23131,12574,14330,32886,32620
Segovia,7470,9370,11933,12810,15729,1772,1268,1137,1045,636,560,600,650,852,1112,1400,1781,1055,1144,3570,3539
Sevilla,25740,29166,37469,46346,49860,10011,7436,6442,7561,5986,4562,4606,4596,5650,7034,8877,11619,8438,8493,23647,24431
Soria,3375,4209,5370,6233,6855,1069,676,613,483,319,287,318,323,416,645,772,1213,769,779,2581,2405
Tarragona,50892,63107,84088,99103,116501,12852,8168,7415,7036,5115,4675,4965,5469,6560,8512,11827,14274,8599,10087,27305,25877
Teruel,6016,7428,9756,11414,13858,2567,1117,891,642,559,477,433,445,674,925,1018,1379,811,1081,2840,2773
Toledo,26106,32019,40564,46243,57920,7857,4584,4042,3911,2400,1994,2167,2618,3099,4473,6699,8510,5302,5143,17757,17524
Valencia,124088,151754,194707,231084,250974,27214,18054,19773,19265,13597,11943,14499,16256,19810,26218,33545,40989,24693,31791,80350,86902
